review_id,section,claim_id,claim_text,is_quote,has_numbers,is_causal_or_normative,citation_text,citation_type,citation_author,citation_year,is_secondary,primary_mentioned_author,primary_mentioned_year,stated_page,in_reference_list,source_pdf_path,priority
2_1,unknown,b92e556f,"Strengthening M&E systems goes beyond technical capacity alone: it involves fostering a culture of learning, ensuring political support, and embedding M&E within policy and governance processes to enhance accountability and evidence-based decision-making (CLEAR-AA, 2020).",False,True,False,"(CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,False,,High
2_1,unknown,fa5b3196,"Similarly, Chirau, Dlakavu, and Masilela (2022) describe national M&E systems as “the collection of frameworks, capacities, and institutional arrangements for conducting and using M&E in government” (p. 2).",True,True,False,Masilela (2022),narrative,Masilela,2022,False,,,2,False,,High
2_1,unknown,a12e6ac7,"Where these elements align, M&E becomes an integral part of governance, thus strengthening the system over time (Kanyamuna, 2021).",False,True,False,"(Kanyamuna, 2021)",parenthetical,Kanyamuna,2021,False,,,,False,pilot_inputs/sources_pdf\Kanyamuna_2021.pdf,High
2_1,unknown,d93a152f,"A recurring concept across the literature is “institutionalization” of M&E, sometimes used synonymously with “M&E systems strengthening.” For instance, Makadzange (2022) draws on the International Atlas of Evaluation Framework to discuss “fully institutionalised M&E systems,” pointing to the need for legal mandates, pervasive practice, and parliamentary or legislative support.",True,True,False,Makadzange (2022),narrative,Makadzange,2022,False,,,,False,pilot_inputs/sources_pdf\Makadzange_2022.pdf,High
2_1,unknown,dbc2c05f,"Such an environment often requires sufficient funding, leadership commitment, and integration with existing governance structures (Matsiliza, 2019).",False,True,False,"(Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,False,pilot_inputs/sources_pdf\Matsiliza_2019.pdf,High
2_1,unknown,58e671ca,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",False,True,True,"(CLEAR-AA, 2020; Masvaure & Chirau, 2020)",parenthetical,CLEAR-AA,2020,False,,,,False,,High
2_1,unknown,fcf65fc3,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",False,True,True,"(CLEAR-AA, 2020; Masvaure & Chirau, 2020)",parenthetical,Masvaure & Chirau,2020,False,,,,False,,High
2_1,unknown,692c0d39,"At the individual level, building evaluators’ and policymakers’ technical skills is critical; however, as Stewart (2015) argues, one-off trainings are not sufficient.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,False,pilot_inputs/sources_pdf\Stewart_2015.pdf,High
2_1,unknown,d4aaf06a,"Process use – where active participation in evaluations fosters organizational learning – also helps embed a culture of inquiry (Alkin & King, 2016).",False,True,False,"(Alkin & King, 2016)",parenthetical,Alkin & King,2016,False,,,,False,,High
2_1,unknown,40d49d70,"As pointed out by Alkin and King (2017), stakeholder engagement and evaluator credibility can be decisive factors in whether institutions adopt M&E findings.",False,True,False,Alkin and King (2017),narrative,Alkin and King,2017,False,,,,False,,High
