review_id,section,claim_id,claim_text,is_quote,has_numbers,is_causal_or_normative,citation_text,citation_type,citation_author,citation_year,is_secondary,primary_mentioned_author,primary_mentioned_year,stated_page,in_reference_list,source_pdf_path,priority,section_canonical,section_level,research_question,section_title
2_1,unknown,46111d66,"Strengthening M&E systems goes beyond technical capacity alone: it involves fostering a culture of learning, ensuring political support, and embedding M&E within policy and governance processes to enhance accountability and evidence-based decision-making (CLEAR-AA, 2020).",False,True,False,"(CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Introduction,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Introduction
2_1,unknown,8c8b57bf,"Similarly, Chirau, Dlakavu, and Masilela (2022) describe national M&E systems as “the collection of frameworks, capacities, and institutional arrangements for conducting and using M&E in government” (p. 2).",True,True,False,Masilela (2022),narrative,Masilela,2022,False,,,2,,,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening
2_1,unknown,4a8d46bb,"Where these elements align, M&E becomes an integral part of governance, thus strengthening the system over time (Kanyamuna, 2021).",False,True,False,"(Kanyamuna, 2021)",parenthetical,Kanyamuna,2021,False,,,,,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening
2_1,unknown,4932c330,"A recurring concept across the literature is “institutionalization” of M&E, sometimes used synonymously with “M&E systems strengthening.” For instance, Makadzange (2022) draws on the International Atlas of Evaluation Framework to discuss “fully institutionalised M&E systems,” pointing to the need for legal mandates, pervasive practice, and parliamentary or legislative support.",True,True,False,Makadzange (2022),narrative,Makadzange,2022,False,,,,,pilot_inputs/sources_pdf/Makadzange_2022.pdf,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening
2_1,unknown,b5ac507f,"Such an environment often requires sufficient funding, leadership commitment, and integration with existing governance structures (Matsiliza, 2019).",False,True,False,"(Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening
2_1,unknown,11a21d78,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",False,True,True,"(CLEAR-AA, 2020; Masvaure & Chirau, 2020)",parenthetical,CLEAR-AA,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building
2_1,unknown,5a82cb8d,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",False,True,True,"(CLEAR-AA, 2020; Masvaure & Chirau, 2020)",parenthetical,Masvaure & Chirau,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building
2_1,unknown,99151bcd,"At the individual level, building evaluators’ and policymakers’ technical skills is critical; however, as Stewart (2015) argues, one-off trainings are not sufficient.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,,pilot_inputs/sources_pdf/Stewart_2015.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building
2_1,unknown,9a3af309,"Process use – where active participation in evaluations fosters organizational learning – also helps embed a culture of inquiry (Alkin & King, 2016).",False,True,False,"(Alkin & King, 2016)",parenthetical,Alkin & King,2016,False,,,,,pilot_inputs/sources_pdf/Alkin_2016.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building
2_1,unknown,e6c23d76,"As pointed out by Alkin and King (2017), stakeholder engagement and evaluator credibility can be decisive factors in whether institutions adopt M&E findings.",False,True,False,Alkin and King (2017),narrative,Alkin and King,2017,False,,,,,pilot_inputs/sources_pdf/Alkin_2016.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building
