review_id,section,claim_id,claim_text,is_quote,has_numbers,is_causal_or_normative,citation_text,citation_type,citation_author,citation_year,is_secondary,primary_mentioned_author,primary_mentioned_year,stated_page,in_reference_list,source_pdf_path,priority,section_canonical,section_level,research_question,section_title,source_pdf
2_1,unknown,c6fe06d1,"Strengthening M&E systems goes beyond technical capacity alone: it involves fostering a culture of learning, ensuring political support, and embedding M&E within policy and governance processes to enhance accountability and evidence-based decision-making (CLEAR-AA, 2020).",False,True,False,"(CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Introduction,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Introduction,CLEAR_AA_2020.pdf
2_1,unknown,375cdfdc,"Similarly, Chirau, Dlakavu, and Masilela (2022) describe national M&E systems as “the collection of frameworks, capacities, and institutional arrangements for conducting and using M&E in government” (p. 2).",True,True,False,Masilela (2022),narrative,Masilela,2022,False,,,2,,,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening,Aantjes_2022.pdf
2_1,unknown,162eb577,"Where these elements align, M&E becomes an integral part of governance, thus strengthening the system over time (Kanyamuna, 2021).",False,True,False,"(Kanyamuna, 2021)",parenthetical,Kanyamuna,2021,False,,,,,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening,Kanyamuna_2021.pdf
2_1,unknown,f47f616c,"A recurring concept across the literature is “institutionalization” of M&E, sometimes used synonymously with “M&E systems strengthening.” For instance, Makadzange (2022) draws on the International Atlas of Evaluation Framework to discuss “fully institutionalised M&E systems,” pointing to the need for legal mandates, pervasive practice, and parliamentary or legislative support.",True,True,False,Makadzange (2022),narrative,Makadzange,2022,False,,,,,pilot_inputs/sources_pdf/Makadzange_2022.pdf,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening,Makadzange_2022.pdf
2_1,unknown,2ade1358,"Such an environment often requires sufficient funding, leadership commitment, and integration with existing governance structures (Matsiliza, 2019).",False,True,False,"(Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,High,Defining M&E Systems Strengthening,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Defining M&E Systems Strengthening,Matsiliza_2019.pdf
2_1,unknown,c27e9bd6,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",False,True,True,"(CLEAR-AA, 2020; Masvaure & Chirau, 2020)",parenthetical,CLEAR-AA,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,CLEAR_AA_2020.pdf
2_1,unknown,026d6953,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",False,True,True,"(CLEAR-AA, 2020; Masvaure & Chirau, 2020)",parenthetical,Masvaure & Chirau,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,CLEAR_AA_2020.pdf
2_1,unknown,0f67f584,"At the individual level, building evaluators’ and policymakers’ technical skills is critical; however, as Stewart (2015) argues, one-off trainings are not sufficient.",False,True,False,Stewart (2015),narrative,Stewart,2015,False,,,,,pilot_inputs/sources_pdf/Stewart_2015.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,Stewart_2015.pdf
2_1,unknown,c6cecaa8,"Process use – where active participation in evaluations fosters organizational learning – also helps embed a culture of inquiry (Alkin & King, 2016).",False,True,False,"(Alkin & King, 2016)",parenthetical,Alkin & King,2016,False,,,,,pilot_inputs/sources_pdf/Alkin_2016.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,Alkin_2016.pdf
2_1,unknown,d02817ee,"As pointed out by Alkin and King (2017), stakeholder engagement and evaluator credibility can be decisive factors in whether institutions adopt M&E findings.",False,True,False,Alkin and King (2017),narrative,Alkin and King,2017,False,,,,,pilot_inputs/sources_pdf/Alkin_2016.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,Alkin_2017.pdf
2_1,unknown,1ddadb7e,"Finally, at the macro or system-wide level, national M&E policies, legal mandates, and budget allocations form the backbone of a sustainable M&E system (Chirau et al., 2022).",False,True,False,"(Chirau et al., 2022)",parenthetical,Chirau et al.,2022,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,Chirau_2022.pdf
2_1,unknown,fcae6efd,"For example, Kanyamuna (2021) underscores the value of a whole-of-government approach, in which standardized indicators and integrated national frameworks ensure that data are comparable across ministries and feed into a shared platform for evidence-based policy.",False,True,False,Kanyamuna (2021),narrative,Kanyamuna,2021,False,,,,,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,Kanyamuna_2021.pdf
2_1,unknown,c01ce814,"Country-led approaches further emphasize that local contexts, rather than donor imperatives, should dictate the focus and structure of M&E system interventions (Chirau, Masilela, & Dlakavu, 2020).",False,True,True,"(Chirau, Masilela, & Dlakavu, 2020)",parenthetical,Dlakavu,2020,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Multi-Level Capacity Building,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Multi-Level Capacity Building,Chirau_2020.pdf
2_1,unknown,d36765f9,"Another cornerstone of M&E systems strengthening lies in formalizing M&E within governance structures, often referred to as “institutionalization.” This process includes legal or policy mandates requiring government agencies to not only collect data but also use it systematically in planning and budgeting (Matsiliza, 2019).",True,True,False,"(Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,Matsiliza_2019.pdf
2_1,unknown,3bfa7239,"Makadzange (2022) describes this as achieving “fully institutionalised M&E systems,” which entails embedding M&E principles across the public sector, reinforcing them with legislation, and ensuring that responsibilities for data collection, analysis, and reporting are clearly designated.",True,True,False,Makadzange (2022),narrative,Makadzange,2022,False,,,,,pilot_inputs/sources_pdf/Makadzange_2022.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,Makadzange_2022.pdf
2_1,unknown,f0e0e6c0,"Integration with budgeting processes is repeatedly cited as crucial (Chirau et al., 2022; Kanyamuna et al., 2018).",False,True,False,"(Chirau et al., 2022; Kanyamuna et al., 2018)",parenthetical,Chirau et al.,2022,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,Chirau_2022.pdf
2_1,unknown,8ec473fe,"Integration with budgeting processes is repeatedly cited as crucial (Chirau et al., 2022; Kanyamuna et al., 2018).",False,True,False,"(Chirau et al., 2022; Kanyamuna et al., 2018)",parenthetical,Kanyamuna et al.,2018,False,,,,,pilot_inputs/sources_pdf/Kanyamuna_2018.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,Chirau_2022.pdf
2_1,unknown,61cea6c6,"By linking M&E outputs to annual budget cycles and strategic planning, governments can create what Kanyamuna (2021) calls a “functional whole-of-government monitoring and evaluation system.” This integration signals that evaluation and monitoring are not isolated tasks but integral components of evidence-based governance.",True,True,False,Kanyamuna (2021),narrative,Kanyamuna,2021,False,,,,,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,Kanyamuna_2021.pdf
2_1,unknown,dfd05aef,"Policy integration also involves creating national M&E frameworks or strategies that guide ministries, departments, and agencies (CLEAR-AA, 2020).",False,True,False,"(CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,CLEAR_AA_2020.pdf
2_1,unknown,67b77801,"As Masvaure and Fish (2022) note, a recurring challenge is balancing monitoring (which tends to be more routine and compliance-oriented) with deeper evaluative work.",False,True,False,Masvaure and Fish (2022),narrative,Masvaure and Fish,2022,False,,,,,pilot_inputs/sources_pdf/Masvaure_2020.pdf,High,Institutionalization and Policy Integration,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Institutionalization and Policy Integration,Fish_2022.pdf
2_1,unknown,68cf4b17,"As CLEAR-AA (2020, p. 3) states, “An enabling environment … is a prerequisite for strengthening M&E capacity at individual, institutional, and system levels.” Political buy-in is particularly critical: high-level support can legitimize M&E, allocate resources, and champion evidence-based decision-making (Chirau et al., 2022; Campbell, 2021).",True,True,False,"(Chirau et al., 2022; Campbell, 2021)",parenthetical,Chirau et al.,2022,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Enabling Environments and Contextual Factors,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Enabling Environments and Contextual Factors,Chirau_2022.pdf
2_1,unknown,ec3d32f9,"As CLEAR-AA (2020, p. 3) states, “An enabling environment … is a prerequisite for strengthening M&E capacity at individual, institutional, and system levels.” Political buy-in is particularly critical: high-level support can legitimize M&E, allocate resources, and champion evidence-based decision-making (Chirau et al., 2022; Campbell, 2021).",True,True,False,"(Chirau et al., 2022; Campbell, 2021)",parenthetical,Campbell,2021,False,,,,,pilot_inputs/sources_pdf/Campbell_2021.pdf,High,Enabling Environments and Contextual Factors,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Enabling Environments and Contextual Factors,Chirau_2022.pdf
2_1,unknown,c7d901d8,"Donor-driven fragmentation, however, can inhibit the formation of robust national systems when multiple agencies fund short-term, project-based M&E without aligning to national strategies (Chirau, Masilela, & Dlakavu, 2020).",False,True,False,"(Chirau, Masilela, & Dlakavu, 2020)",parenthetical,Dlakavu,2020,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Enabling Environments and Contextual Factors,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Enabling Environments and Contextual Factors,Chirau_2020.pdf
2_1,unknown,3374cfc7,"The presence of professional evaluation associations, academic programs in M&E, and communities of practice can cultivate shared learning and advocacy for best practices (Makadzange, 2022).",False,True,False,"(Makadzange, 2022)",parenthetical,Makadzange,2022,False,,,,,pilot_inputs/sources_pdf/Makadzange_2022.pdf,High,Enabling Environments and Contextual Factors,3,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Enabling Environments and Contextual Factors,Makadzange_2022.pdf
2_1,unknown,eaeaef8a,"While many sources champion holistic and long-term strategies, few offer concrete frameworks for evaluating whether these strategies have indeed strengthened the system in a sustained manner (Masvaure & Chirau, 2020; CLEAR-AA, 2020).",False,True,False,"(Masvaure & Chirau, 2020; CLEAR-AA, 2020)",parenthetical,Masvaure & Chirau,2020,False,,,,,pilot_inputs/sources_pdf/Masvaure_2020.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2020.pdf
2_1,unknown,50a80756,"While many sources champion holistic and long-term strategies, few offer concrete frameworks for evaluating whether these strategies have indeed strengthened the system in a sustained manner (Masvaure & Chirau, 2020; CLEAR-AA, 2020).",False,True,False,"(Masvaure & Chirau, 2020; CLEAR-AA, 2020)",parenthetical,CLEAR-AA,2020,False,,,,,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2020.pdf
2_1,unknown,c75a6938,"Researchers increasingly call for outcome-based indicators that track changes in how data are generated, used, and integrated into policy decisions (Masvaure & Fish, 2022).",False,True,False,"(Masvaure & Fish, 2022)",parenthetical,Masvaure & Fish,2022,False,,,,,pilot_inputs/sources_pdf/Masvaure_2020.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Fish_2022.pdf
2_1,unknown,66ba2bfb,"Multiple references highlight that governments often institute elaborate monitoring frameworks – focusing on compliance and indicator tracking – yet fall short on conducting rigorous evaluations that generate deeper insights (Chirau et al., 2022; Matsiliza, 2019).",False,True,False,"(Chirau et al., 2022; Matsiliza, 2019)",parenthetical,Chirau et al.,2022,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2022.pdf
2_1,unknown,313c7faf,"Multiple references highlight that governments often institute elaborate monitoring frameworks – focusing on compliance and indicator tracking – yet fall short on conducting rigorous evaluations that generate deeper insights (Chirau et al., 2022; Matsiliza, 2019).",False,True,False,"(Chirau et al., 2022; Matsiliza, 2019)",parenthetical,Matsiliza,2019,False,,,,,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2022.pdf
2_1,unknown,6230da54,"Without coordination, these projects risk creating parallel data systems, duplicative indicators, or short-lived capacity-building efforts that dissipate once donor funding ends (Chirau, Masilela, & Dlakavu, 2020).",False,True,False,"(Chirau, Masilela, & Dlakavu, 2020)",parenthetical,Dlakavu,2020,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2020.pdf
2_1,unknown,3a4d14c4,"Finally, a noteworthy insight is the importance of balancing demand and supply of M&E information (Chirau et al., 2022; Kanyamuna, 2021).",False,True,False,"(Chirau et al., 2022; Kanyamuna, 2021)",parenthetical,Chirau et al.,2022,False,,,,,pilot_inputs/sources_pdf/Chirau_2020.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2022.pdf
2_1,unknown,266b98c0,"Finally, a noteworthy insight is the importance of balancing demand and supply of M&E information (Chirau et al., 2022; Kanyamuna, 2021).",False,True,False,"(Chirau et al., 2022; Kanyamuna, 2021)",parenthetical,Kanyamuna,2021,False,,,,,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,High,Gaps and Emerging Insights,2,How are M&E systems strengthening approaches defined and conceptualized in the literature?,Gaps and Emerging Insights,Chirau_2022.pdf
